mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-1.000000e-01, 4.585989e-10, 3.755247e-10, 7.638011e-09, -3.704405e-09, -2.483111e-08, 9.759011e-08, 2.134770e-09, -2.738563e-09, 2.724677e-09, -1.063754e-08, 3.189165e-08, -3.769494e-08, 3.015966e-08, -5.765746e-09, -3.154211e-08, -7.370088e-09, -2.728053e-09, -7.365163e-09, 1.800767e-09, -5.939855e-09, -1.335776e-08, -3.641201e-09, -3.317738e-09, -2.200677e-08, 1.069063e-09, 2.302477e-10, -1.289772e-09
-9.874214e-02, 4.459007e-09, 1.354022e-08, -1.928562e-08, -1.288327e-08, -2.098284e-08, 2.041370e-07, -6.044728e-10, -1.602255e-09, -4.844143e-09, 3.644970e-08, 2.915890e-08, -2.109246e-07, 9.642867e-09, -2.031451e-08, -6.924681e-09, 8.653697e-10, -1.550059e-09, -1.847736e-08, 1.873936e-09, -7.935250e-09, -2.870483e-09, -3.180974e-09, -1.606911e-09, -1.198138e-08, -4.122859e-10, -1.586216e-09, -1.093927e-09
-9.748428e-02, -3.266613e-08, 2.296080e-08, 7.850431e-08, 8.879026e-10, 1.335094e-08, -3.809553e-08, 7.640071e-12, -1.265840e-10, -2.822283e-09, -7.969031e-09, -4.635016e-09, 2.633778e-08, -2.978363e-08, 9.892263e-09, -4.072879e-09, -4.336164e-09, -9.595121e-11, -6.303004e-09, -1.856386e-09, -2.833787e-09, -4.106269e-09, -4.761528e-09, 2.205672e-09, -5.610050e-09, 1.507046e-09, -1.383391e-09, -1.838999e-09
-9.622642e-02, -9.200755e-09, 1.009123e-08, 4.883765e-09, 7.543749e-09, -3.218548e-09, -1.904758e-07, -5.644288e-10, -1.565725e-09, 3.228308e-10, 1.839626e-08, -1.802009e-08, 1.318565e-08, -1.810589e-08, -4.207401e-09, -1.126766e-08, -3.701573e-09, -2.568497e-09, -1.714888e-08, 3.196164e-09, -5.397994e-09, 1.956110e-09, -7.305317e-09, -3.803268e-09, -2.126008e-09, -6.986341e-10, -1.071591e-09, -1.260810e-09
-9.496855e-02, -1.094608e-08, 6.379015e-09, 9.858557e-08, 2.044236e-09, 4.877730e-09, -1.087989e-07, -1.739707e-10, -1.729316e-09, -1.428471e-08, 2.666735e-08, -2.106284e-09, 9.634591e-08, -1.519850e-09, -1.066723e-09, -2.022176e-09, -2.142900e-09, 2.034096e-09, -2.430062e-08, 4.958216e-09, -5.607460e-09, -8.295035e-09, -8.672633e-09, -4.511609e-09, 2.721405e-09, -1.091620e-09, -1.304279e-09, -6.895254e-10
-9.371069e-02, -1.898163e-08, 3.936780e-09, 3.190782e-08, 5.822007e-09, -2.816802e-09, -1.486643e-07, 6.834998e-10, 2.109648e-09, 1.213992e-08, 1.277504e-08, 3.008334e-09, 1.536639e-07, -4.723158e-09, -2.898226e-09, -9.913533e-08, -4.261186e-09, 8.925983e-10, 1.265017e-09, 5.051156e-11, -2.082715e-09, -5.380379e-09, -6.243352e-09, 1.819564e-09, -9.290775e-09, 2.196500e-09, 1.116001e-09, -2.010694e-09
-9.245283e-02, 2.296237e-08, 9.330302e-09, 6.955834e-08, -5.344395e-09, -3.032338e-08, 1.732731e-07, 6.538467e-10, -1.661470e-10, -2.065372e-08, -2.342406e-08, 9.430376e-09, -1.917128e-07, -1.859967e-08, 1.824151e-08, -5.486310e-08, -3.044591e-09, -2.049540e-09, -1.277535e-08, -7.700825e-10, -2.657496e-09, -6.486208e-10, 2.372177e-09, 5.670400e-11, -7.517015e-09, 8.598693e-10, 3.814902e-10, -8.172844e-10
-9.119497e-02, 2.818595e-09, 3.791303e-08, 5.219766e-08, 2.140298e-08, 3.492207e-09, -1.336133e-08, 6.418606e-10, 4.250017e-09, -2.347475e-08, 3.248450e-08, 1.274799e-08, -2.317527e-08, 1.719097e-09, -4.568390e-08, -7.104214e-08, -3.744309e-09, 2.569294e-09, 7.189879e-09, -4.253854e-09, 1.390084e-09, 9.351351e-09, 3.226130e-10, 3.494116e-09, -4.976086e-09, -3.833545e-10, -3.380562e-10, -4.799778e-10
-8.993711e-02, -2.521031e-08, 1.434794e-08, 3.812958e-08, 4.537989e-09, 1.970103e-09, 4.873810e-08, -2.878241e-10, -1.374463e-09, 1.767972e-09, 1.634595e-08, -2.201271e-08, -1.780687e-08, -4.499418e-08, -1.281365e-08, -2.539312e-08, -1.951340e-09, -1.213672e-11, -3.463685e-09, 7.591383e-10, 5.068779e-10, -5.457877e-09, 5.358618e-10, -1.673216e-09, -1.126013e-08, 1.823205e-09, -7.367106e-10, -8.782856e-10
-8.867925e-02, 3.904893e-08, -5.868927e-09, -3.707703e-08, -5.816374e-09, -3.048714e-08, -1.088264e-07, -1.392583e-09, 2.034824e-09, -2.193952e-08, -1.193371e-08, 7.739056e-09, -8.700904e-09, 6.907257e-09, 7.563905e-09, -1.846171e-08, -2.699811e-09, 2.179500e-09, -4.033500e-09, 4.423195e-10, -5.517760e-09, -1.068783e-10, -8.058947e-09, -1.538452e-09, -2.827448e-09, -1.161703e-09, 4.572716e-10, 1.292765e-09
-8.742138e-02, 1.061475e-08, 2.215654e-08, 4.465431e-08, 4.575988e-09, -1.611762e-08, 6.642859e-08, -1.695322e-10, 1.071028e-09, -1.009182e-08, 2.101216e-08, -5.453954e-09, -1.004638e-07, -1.021997e-08, -1.215154e-08, -2.369653e-08, -2.232943e-09, 2.296618e-09, -4.927321e-10, -8.877515e-10, -3.074576e-09, -2.077254e-09, -1.522173e-09, -4.717884e-11, -2.802471e-09, 6.182912e-10, 9.118420e-10, -2.305899e-10
-8.616352e-02, 2.674612e-08, 8.861860e-09, 7.400568e-08, 9.831020e-09, -3.714172e-08, 4.511904e-07, 2.338478e-09, -2.676026e-10, -7.415882e-09, 1.747801e-08, -3.201709e-09, -4.262645e-07, 1.443528e-09, -2.065455e-08, -2.493335e-08, 1.955997e-09, 1.222398e-09, 5.822043e-09, 1.476808e-09, -6.164338e-09, -1.227068e-08, 3.472877e-09, -1.951228e-09, -1.836436e-08, 6.532772e-10, 6.506252e-10, -1.248782e-09
-8.490566e-02, -2.640383e-10, -1.295719e-08, -1.617734e-08, -3.674110e-09, -6.348295e-09, -7.730230e-08, 4.142642e-10, 1.333995e-09, -1.566501e-08, 2.458844e-09, 1.971366e-08, 2.721437e-09, -1.013264e-09, -4.708997e-09, 4.583333e-08, -1.008900e-09, -4.567684e-10, -1.600248e-10, 2.049345e-09, -1.882762e-09, 2.464042e-10, -2.936646e-09, -9.190363e-10, 7.331879e-09, 8.268493e-10, -3.695378e-10, -5.059888e-10
