mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, 5.009113e-09, 3.484211e-10, 2.614672e-09, 3.629291e-10, -6.390866e-09, 5.732407e-09, -3.314292e-10, 7.897536e-10, 2.886258e-09, 2.909388e-09, -2.905069e-09, 1.574091e-08, -2.542559e-09, -5.022229e-10, -6.281746e-09, -2.608651e-10, -4.923934e-12, -5.236615e-10, -5.965965e-10, 4.389530e-10, 1.041090e-10, -2.522377e-10, 5.727079e-10, 3.956279e-10, 3.049150e-10, -6.751649e-12, -3.656996e-10
-7.899371e-02, 3.411747e-09, -1.236138e-09, 1.753139e-09, -1.011565e-09, -5.006015e-09, 6.478387e-09, 6.094317e-11, 5.674732e-10, 2.972235e-09, 3.733436e-10, -2.624579e-09, 1.565373e-08, -3.228277e-09, 1.036396e-09, -5.507116e-09, -1.954970e-10, -2.509154e-11, -8.309073e-10, 9.087108e-11, -4.211691e-10, 4.891843e-10, -7.767479e-10, -2.374729e-11, 1.685712e-10, 2.691902e-10, 7.477024e-12, -1.739481e-10
-7.798742e-02, 4.561420e-09, -5.017879e-10, 1.606439e-09, -1.210545e-09, -5.169894e-09, 7.461667e-09, -2.283556e-10, 6.565363e-10, 1.478618e-09, -1.322870e-09, -3.316866e-09, 1.454656e-08, -2.955766e-09, 3.531150e-09, -6.901912e-09, -2.955157e-10, -2.446627e-10, -1.182854e-09, -8.540890e-11, -6.193355e-11, 4.030916e-10, -4.773300e-10, -9.510118e-11, 7.704590e-11, 2.080220e-10, -3.665179e-11, -4.466785e-10
-7.698113e-02, -7.014371e-10, -6.416930e-10, 1.541412e-09, -6.097873e-10, -1.632059e-10, 9.267339e-09, -1.250168e-11, 5.459678e-10, 1.073333e-09, -5.550764e-10, -2.095677e-09, 1.356971e-08, -2.201098e-09, 2.495408e-09, -5.540445e-09, -1.115910e-10, 3.677925e-11, -7.684058e-10, -8.793060e-11, 9.050718e-10, 1.210268e-10, 3.299212e-10, 3.440222e-11, -1.709166e-10, 1.720906e-10, -1.850775e-11, -1.910260e-10
-7.597484e-02, 1.764833e-09, -1.026867e-09, 1.573375e-09, -1.379458e-09, -2.407255e-09, 9.276253e-09, 7.287965e-11, 6.772199e-10, 2.010185e-09, -1.282485e-09, -3.819120e-09, 1.455969e-08, -3.042134e-09, 3.146868e-09, -6.591387e-09, -1.909216e-10, 5.094627e-11, -9.815976e-10, 6.701116e-10, 4.913466e-10, 3.544349e-10, 1.185508e-10, -6.884674e-10, -1.006495e-11, 2.671635e-10, 1.054956e-12, 1.154703e-10
-7.496855e-02, 2.522682e-09, -4.461945e-10, 2.718204e-09, -8.646736e-10, -4.451631e-09, 7.230958e-09, 1.375641e-10, 7.064277e-10, 2.896818e-09, 7.371996e-10, -3.619873e-09, 1.314422e-08, -3.537673e-09, 1.715540e-09, -6.451303e-09, -1.284995e-10, -1.483919e-11, -1.673986e-09, 7.565577e-10, -5.073998e-10, 2.351588e-10, -8.459806e-10, -9.144759e-10, -3.762537e-10, 2.677681e-10, 9.232542e-13, -1.858132e-10
-7.396226e-02, 3.588019e-09, -2.933023e-09, 2.755891e-09, -2.613560e-09, -4.402876e-09, 7.600890e-09, -2.388202e-10, 4.925636e-10, 2.030658e-09, 1.601549e-09, -2.665408e-09, 1.385124e-08, -3.051056e-09, 5.409066e-10, -6.197464e-09, -1.920951e-10, -4.494793e-11, -9.210138e-10, -3.882674e-11, -6.760674e-10, 3.653119e-10, -1.044000e-09, -1.210048e-10, -1.503688e-10, 2.151681e-10, 1.701416e-11, -1.206008e-10
-7.295597e-02, 1.275305e-09, -4.112820e-10, 2.002648e-09, -6.499527e-10, -1.977633e-09, 7.207273e-09, -9.389195e-11, 3.633958e-10, 2.223125e-09, 1.370771e-09, -6.302221e-09, 1.496666e-08, -7.122139e-09, 4.157023e-10, -5.476872e-09, -3.870214e-10, -8.622445e-11, -9.128086e-11, -2.170667e-10, -1.109655e-10, -5.689127e-11, -5.087969e-10, 1.581171e-10, 2.771521e-11, 2.520885e-10, -3.182111e-12, -2.880451e-10
-7.194969e-02, 3.199165e-10, -2.350627e-09, 1.406355e-09, -2.434859e-09, -5.192246e-10, 9.701175e-09, -1.561059e-11, 3.964844e-10, 1.536635e-09, -1.021913e-09, -2.591331e-09, 1.330207e-08, -3.219750e-09, 2.518460e-09, -6.261776e-09, -3.169323e-10, -7.363095e-11, -8.414328e-10, 2.068311e-11, -1.888145e-10, 2.399785e-10, -5.720719e-10, -1.624090e-11, -9.907503e-11, 2.250062e-10, -5.129547e-12, -1.364268e-10
-7.094340e-02, 2.530680e-09, -2.845597e-09, 9.534394e-10, -2.343272e-09, -3.392570e-09, 6.593257e-09, -2.182614e-10, 5.783425e-10, 1.267936e-09, -4.532888e-10, -2.806541e-09, 1.358364e-08, -2.407400e-09, 2.029842e-09, -5.674653e-09, -1.511075e-10, -2.585238e-11, -3.876924e-10, -5.652816e-10, -1.084932e-10, 6.859827e-11, -4.515741e-11, 4.984158e-10, -3.573078e-10, 1.694011e-10, -2.696885e-11, -2.304941e-10
-6.993711e-02, 2.333694e-09, -8.058247e-10, 1.936323e-09, -1.290173e-09, -3.155806e-09, 7.055950e-09, 3.953330e-11, 4.208227e-10, 1.976505e-09, -6.728918e-10, -2.251215e-09, 1.204343e-08, -2.895577e-09, 2.689565e-09, -5.449443e-09, -2.458025e-10, 6.667113e-11, -7.396128e-10, 7.259340e-11, -3.078201e-10, 2.019522e-10, -6.648123e-10, -1.328655e-10, 7.242654e-11, 1.891738e-10, -3.722895e-12, -3.230060e-11
-6.893082e-02, 1.977245e-09, 4.296867e-10, 1.461693e-09, -4.514633e-10, -2.243092e-09, 6.863686e-09, -9.474973e-11, 4.385876e-10, 1.166261e-09, 8.763183e-11, -3.107236e-09, 1.267673e-08, -2.184598e-09, 1.974726e-09, -4.507866e-09, -1.686613e-10, -5.992594e-11, -7.646357e-10, 3.727683e-10, 2.917844e-10, 8.710977e-11, 7.720883e-11, -3.879449e-10, -4.022574e-11, 1.678686e-10, 1.223762e-11, -4.865110e-11
-6.792453e-02, 1.429867e-09, -7.774400e-10, 2.444324e-09, -1.205855e-09, -2.364078e-09, 7.708088e-09, -1.825581e-10, 4.695696e-10, 1.557605e-09, 1.754143e-09, -5.137503e-09, 1.329849e-08, -5.708428e-09, -3.775628e-10, -4.303418e-09, -2.048388e-10, -1.806534e-10, -4.820520e-10, 1.554478e-10, -5.355066e-10, 2.405225e-10, -8.762624e-10, -3.962555e-10, 2.579136e-10, 1.559992e-10, -2.713684e-11, -1.232113e-10
-6.691824e-02, 3.811501e-09, -1.108636e-09, 1.968682e-09, -1.560917e-09, -4.534856e-09, 6.046510e-09, -1.895287e-10, 5.896976e-10, 1.252711e-09, 8.737583e-10, -4.489467e-09, 1.204386e-08, -3.646817e-09, 4.102972e-10, -4.611954e-09, -2.578480e-10, -1.459514e-10, -7.608666e-11, -1.649530e-10, 8.991135e-11, -7.210457e-12, -2.274732e-10, -1.055783e-10, 3.572822e-11, 1.306889e-10, 2.134531e-11, -9.285912e-11
-6.591195e-02, 2.902951e-09, -1.556677e-10, 1.866802e-09, -2.271382e-10, -3.600288e-09, 7.657530e-09, -6.644050e-11, 3.703701e-10, 1.646174e-09, 1.508527e-09, -1.394998e-09, 1.100384e-08, -1.788194e-09, -2.115440e-10, -5.186917e-09, -1.249743e-10, -5.807886e-11, 3.162116e-11, 2.648926e-10, 3.501454e-10, 3.730480e-11, -4.333192e-11, -2.914427e-10, 2.565841e-10, 1.962642e-10, 2.603755e-11, -6.520353e-11
-6.490566e-02, 1.479238e-09, -2.195895e-09, 1.659614e-09, -2.127371e-09, -2.117256e-09, 7.513914e-09, -1.561669e-10, 3.538828e-10, 1.372052e-09, -2.366040e-11, -2.031965e-09, 1.097578e-08, -2.532894e-09, 1.499197e-09, -5.149330e-09, -1.032284e-10, -1.189059e-11, -4.071722e-10, 6.497159e-10, 4.721268e-10, 1.595614e-11, 1.261413e-10, -7.184122e-10, -9.177071e-11, 1.564871e-10, 2.792303e-11, -1.287463e-10
-6.389937e-02, 1.676848e-09, -3.042923e-09, 1.641553e-09, -3.378795e-09, -1.625083e-09, 7.466761e-09, -1.775131e-10, 3.059316e-10, 9.326030e-10, 5.486424e-10, -2.512763e-09, 1.186627e-08, -2.670487e-09, 1.520592e-09, -4.909504e-09, -1.958706e-10, 3.096933e-11, -8.801974e-10, -1.219387e-10, 3.058182e-10, 1.922173e-10, 1.057429e-10, 7.957356e-11, 1.004796e-10, 1.459777e-10, -1.904858e-11, 2.631349e-11
